iter,gearRatio,moduleBig,moduleSmall,Ns,NpBig,NpSmall,Nr,numPlanet,fwSunMM,fwPlanetBigMM,fwPanetSmallMM,fwRingMM,mass,eff,peakTorque,Cost,Torque_Density,Outer_Bearing_mass,Actuator_width
97,4.0,0.5,0.5,40,40,40,120,4,4.242,4.242,3.785,3.785,0.516,0.963,9.218,0.1961486165728641,17.864,0.05,64.52710222773382
107,5.1652892561983474,0.5,0.5,44,56,44,144,4,3.707,3.707,4.316,4.316,0.627,0.965,11.904,0.30162087343088784,18.986,0.103,67.52308242315834
94,6.58,0.6,0.6,40,54,30,124,4,2.9,2.9,5.155,5.155,0.707,0.955,15.164,0.4076484148014552,21.448,0.134,67.55542476677977
77,7.230392156862743,0.9,0.9,18,41,34,93,3,5.093,5.093,4.304,4.304,0.698,0.941,16.663,0.6956549007050923,23.872,0.128,68.8970131340608
72,8.07738095238095,0.9,0.9,18,41,28,87,3,5.093,5.093,5.541,5.541,0.702,0.936,18.615,0.9569674281019194,26.517,0.128,70.13379559147111
56,9.086021505376344,0.8,0.8,18,47,31,96,3,6.396,6.396,7.064,7.064,0.721,0.938,20.939,1.536777038648543,29.042,0.128,72.95984585288443
46,10.193877551020407,0.7,0.7,21,53,28,102,3,6.72,6.72,10.253,10.253,0.736,0.939,23.492,2.2516175830583656,31.918,0.128,76.47344690458578
31,11.02604166666667,0.7,0.7,18,55,32,105,3,8.286,8.286,10.407,10.407,0.755,0.938,25.41,2.6174266916325495,33.656,0.128,78.19336604250802
21,12.142857142857142,0.6,0.6,21,64,32,117,3,9.066,9.066,14.207,14.207,0.78,0.942,27.984,3.5495863643555183,35.877,0.128,82.77258189723112
18,13.222222222222225,0.6,0.6,18,66,36,120,3,11.182,11.182,14.681,14.681,0.807,0.94,30.471,4.098970972137762,37.758,0.128,85.36365802171586
14,14.000000000000002,0.6,0.6,18,66,33,117,3,11.182,11.182,16.415,16.415,0.815,0.938,32.264,4.457966332832249,39.588,0.128,87.09783318778788
9,15.31547619047619,0.6,0.6,18,65,28,111,3,11.19,11.19,20.06,20.06,0.787,0.934,35.295,5.169017131141356,44.848,0.103,90.74988981850241
4,16.517857142857142,0.5,0.5,21,79,32,132,3,12.942,12.942,25.385,25.385,0.834,0.942,38.066,6.616482423437007,45.643,0.103,97.82742624400892
2,17.733990147783253,0.5,0.5,21,79,29,129,3,12.942,12.942,28.907,28.907,0.853,0.939,40.869,7.344236937658908,47.912,0.103,101.34932613170014