iter,gearRatio,moduleBig,moduleSmall,Ns,NpBig,NpSmall,NrBig,NrSmall,numPlanet,fwSunMM,fwPlanetBigMM,fwPanetSmallMM,fwRingBigMM,fwRingSmallMM,mass,eff,peakTorque,Cost,Torque_Density,Outer_Bearing_mass,Actuator_width
3,10.5,0.5,0.5,64,48,28,160,140,4,2.416,8.741,12.704,8.741,12.704,0.809,0.905,24.198,3.288539115350659,29.911,0.128,89.94459435806755
4,11.666666666666666,0.5,0.5,60,50,30,160,140,5,2.076,7.796,11.03,7.796,11.03,0.775,0.904,26.887,2.7321675062705695,34.693,0.103,87.32640122006973
6,12.428571428571429,0.5,0.5,70,45,30,160,145,5,1.751,8.517,11.36,8.517,11.36,0.822,0.882,28.642,3.032214127448534,34.844,0.128,88.37670896838063
7,14.0,0.5,0.5,72,42,30,156,144,6,1.418,8.397,10.735,8.397,10.735,0.823,0.861,32.264,2.9282422696080572,39.203,0.128,87.63240144544656
10,14.0,0.5,0.5,72,42,30,156,144,6,1.418,8.397,10.735,8.397,10.735,0.823,0.861,32.264,2.9282422696080572,39.203,0.128,87.63240144544656
7,15.4,0.5,0.5,60,42,30,144,132,6,1.745,10.05,12.839,10.05,12.839,0.783,0.858,35.49,3.644901858332517,45.326,0.103,91.38901972576922
11,16.363636363636363,0.5,0.5,66,45,33,156,144,6,1.561,9.778,12.168,9.778,12.168,0.842,0.859,37.711,3.51338120665086,44.787,0.128,90.44555461147084
10,17.5,0.5,0.5,84,35,28,154,147,7,1.026,9.702,11.543,9.702,11.543,0.857,0.792,40.33,3.5218835904041517,47.06,0.128,89.74509799740265
11,18.181818181818183,0.5,0.5,77,35,28,147,140,7,1.136,10.567,12.57,10.567,12.57,0.847,0.791,41.901,3.893377194035173,49.47,0.128,91.63745108947975
13,20.0,0.6,0.6,63,35,28,133,126,7,0.993,8.936,10.624,8.936,10.624,0.855,0.787,46.091,3.192782315252352,53.908,0.128,88.05985899442126
13,20.0,0.6,0.6,63,35,28,133,126,7,0.993,8.936,10.624,8.936,10.624,0.855,0.787,46.091,3.192782315252352,53.908,0.128,88.05985899442126
12,21.428571428571427,0.5,0.5,84,36,30,156,150,6,1.195,13.728,15.797,13.728,15.797,0.915,0.766,49.384,5.287713393592822,53.972,0.128,98.02477311530481
12,22.0,0.6,0.6,40,40,30,120,110,5,2.357,14.718,18.19,14.718,18.19,0.802,0.829,50.7,5.725598691611895,63.217,0.081,100.40876466256813
12,23.0,0.5,0.5,72,36,30,144,138,6,1.43,15.973,18.374,15.973,18.374,0.873,0.764,53.005,6.2144525035756475,60.716,0.103,102.84658106061798
13,25.0,0.5,0.5,78,39,33,156,150,6,1.297,15.783,17.872,15.783,17.872,0.944,0.765,57.614,6.146082093021587,61.032,0.128,102.15511740856934
14,25.2,0.6,0.6,60,36,30,132,126,6,1.223,13.267,15.256,13.267,15.256,0.91,0.761,58.075,5.09344150324528,63.819,0.128,97.02228392565638
12,26.666666666666668,0.6,0.6,54,36,30,126,120,6,1.379,14.713,16.914,14.713,16.914,0.878,0.759,61.455,5.68615836278487,69.994,0.103,100.12667760306499
9,27.181818181818183,0.5,0.5,66,39,33,144,138,6,1.573,18.603,21.058,18.603,21.058,0.909,0.762,62.642,7.3173734002772335,68.913,0.103,108.16053674200606
10,28.6,0.5,0.5,60,39,33,138,132,6,1.753,20.431,23.124,20.431,23.124,0.88,0.76,65.911,8.070052767662022,74.899,0.081,111.0546771595576
8,29.571428571428573,0.8,0.8,28,36,28,100,92,4,2.66,17.212,20.823,17.212,20.823,0.902,0.79,68.149,6.928458242679797,75.553,0.103,106.53569124771865
9,30.333333333333332,0.6,0.6,54,39,33,132,126,6,1.373,15.738,17.808,15.738,17.808,0.952,0.759,69.905,6.144203896311967,73.43,0.128,102.04566642699919
10,31.0,0.5,0.5,80,40,35,160,155,5,1.509,22.955,25.31,22.955,25.31,1.052,0.732,71.441,9.241860187480269,67.91,0.128,116.76529346700364
9,33.0,0.8,0.8,24,36,28,96,88,4,3.283,20.032,24.22,20.032,24.22,0.891,0.786,76.051,8.169108389726095,85.355,0.081,111.75181092189985
8,33.0,0.8,0.8,24,36,28,96,88,4,3.283,20.032,24.22,20.032,24.22,0.891,0.786,76.051,8.169108389726095,85.355,0.081,111.75181092189985
8,34.09090909090909,0.5,0.5,66,45,39,156,150,6,1.561,21.06,23.24,21.06,23.24,1.03,0.761,78.565,8.367057018674318,76.277,0.128,112.79957384905028
14,35.714285714285715,0.7,0.7,28,40,32,108,100,4,3.453,24.701,29.059,24.701,29.059,0.948,0.791,82.306,10.118012704534795,86.821,0.081,121.25981986917705
10,36.75,0.7,0.7,40,35,30,110,105,5,1.745,20.732,23.33,20.732,23.33,0.962,0.72,84.693,8.334971898193356,88.038,0.103,112.56162464116903
5,37.81818181818182,0.7,0.7,44,32,28,108,104,4,1.95,27.91,31.0,27.91,31.0,1.017,0.677,87.154,11.444603831686244,85.697,0.103,127.40985243833711
12,39.0,0.7,0.7,28,42,34,112,104,4,3.443,25.821,30.012,25.821,30.012,0.992,0.791,89.878,10.576547023962458,90.603,0.081,123.33296502273946
11,40.0,0.7,0.7,35,35,30,105,100,5,2.07,23.635,26.589,23.635,26.589,0.947,0.717,92.183,9.558163556000613,97.342,0.081,117.7245138105727
8,40.0,0.7,0.7,35,35,30,105,100,5,2.07,23.635,26.589,23.635,26.589,0.947,0.717,92.183,9.558163556000613,97.342,0.081,117.7245138105727
11,41.72727272727273,0.7,0.7,44,34,30,112,108,4,1.943,29.272,32.241,29.272,32.241,1.063,0.677,96.163,12.011803059499904,90.464,0.103,130.01312700870415
7,42.666666666666664,0.8,0.8,36,32,28,100,96,4,1.921,26.006,28.872,26.006,28.872,1.033,0.672,98.328,10.66371826717925,95.187,0.103,123.37771072431292
5,43.5,0.5,0.5,60,45,40,150,145,5,2.087,33.712,36.536,33.712,36.536,1.131,0.727,100.249,13.727526914681205,88.637,0.103,138.74802990240954
9,44.2,0.7,0.7,40,34,30,108,104,4,2.185,32.139,35.393,32.139,35.393,1.075,0.675,101.862,13.23110547392948,94.755,0.103,136.03236023770157
9,46.0,0.8,0.8,32,32,28,96,92,4,2.241,29.185,32.392,29.185,32.392,1.049,0.67,106.01,12.025678610957547,101.058,0.103,130.07653229222717
5,46.0,0.8,0.8,32,32,28,96,92,4,2.241,29.185,32.392,29.185,32.392,1.049,0.67,106.01,12.025678610957547,101.058,0.103,130.07653229222717
7,47.22222222222222,0.7,0.7,36,34,30,104,100,4,2.499,35.638,39.238,35.638,39.238,1.061,0.673,108.827,14.69119931906575,102.57,0.081,142.37562305546135
7,48.6,0.7,0.7,40,36,32,112,108,4,2.178,33.645,36.771,33.645,36.771,1.128,0.675,112.002,13.860910691399075,99.293,0.103,138.9163874742678
9,49.23076923076923,0.6,0.6,52,40,36,132,128,4,2.148,38.569,41.615,38.569,41.615,1.235,0.68,113.455,15.910894440261782,91.866,0.128,148.68334151052554
12,51.0,0.8,0.8,32,34,30,100,96,4,2.232,30.628,33.713,30.628,33.713,1.106,0.67,117.533,12.634627743164625,106.269,0.103,132.84096429314238
6,51.0,0.8,0.8,32,34,30,100,96,4,2.232,30.628,33.713,30.628,33.713,1.106,0.67,117.533,12.634627743164625,106.269,0.103,132.84096429314238
4,52.0,0.7,0.7,36,36,32,108,104,4,2.49,37.315,40.774,37.315,40.774,1.15,0.673,119.837,15.421801366727438,104.206,0.103,146.5882560047225
4,53.2,0.6,0.6,40,38,34,116,112,4,2.955,47.858,51.944,47.858,51.944,1.176,0.675,122.603,19.7857800698906,104.254,0.081,167.30189381641475
6,54.54545454545455,0.5,0.5,55,50,45,155,150,5,2.292,40.357,43.179,40.357,43.179,1.274,0.725,125.703,16.531753483113977,98.668,0.103,152.03641399493287
10,56.0,0.9,0.9,24,32,28,88,84,4,2.613,30.569,33.904,30.569,33.904,1.106,0.662,129.056,12.676690553267779,116.687,0.103,132.9736386949161
10,56.0,0.9,0.9,24,32,28,88,84,4,2.613,30.569,33.904,30.569,33.904,1.106,0.662,129.056,12.676690553267779,116.687,0.103,132.9736386949161
6,57.0,0.7,0.7,36,38,34,112,108,4,2.482,39.001,42.325,39.001,42.325,1.211,0.673,131.36,16.1306156912516,108.472,0.103,149.82607333697698
3,58.0,0.5,0.5,50,50,45,150,145,5,2.56,44.345,47.442,44.345,47.442,1.275,0.724,133.665,18.185545492128508,104.835,0.081,159.28728502035997
5,59.18181818181818,0.6,0.6,44,42,38,128,124,4,2.612,47.369,50.811,47.369,50.811,1.304,0.677,136.388,19.586167278796747,104.592,0.103,166.68065800779806
3,60.8,0.5,0.5,60,48,44,156,152,4,2.6,56.387,59.675,56.387,59.675,1.441,0.682,140.117,23.290188073943018,97.236,0.103,184.56143864041982
